diagnosis_code,en_name ,ar_name ,category
,"Malignant neoplasms of lip, oral cavity or
pharynx, unspecified","الأورام الخبيثة في الشفة أو تجويف الفم أو
البلعوم غير المحدد تقريبا",Neoplasms
,Malignant neoplasms of oesophagus,الأورام الخبيثة للمريء,Neoplasms
,Adenocarcinoma of oesophagus,السرطان الغدي للمريء,Neoplasms
,Barrett adenocarcinoma,سرطان باريت الغدي,Neoplasms
,Other specified adenocarcinoma of oesophagus,سرطان غدي محدد آخر للمريء,Neoplasms
,"Adenocarcinoma of oesophagus, unspecified",سرطان غدي في المريء غير محدد تقريبا,Neoplasms
,Squamous cell carcinoma of oesophagus,سرطان الخلايا الحرشفية في المريء,Neoplasms
,"Other specified malignant neoplasms of
oesophagus","الأورام الخبيثة المحددة الأخرى
المريء",Neoplasms
,"Malignant neoplasms of oesophagus,
unspecified","الأورام الخبيثة للمريء ،
محدد",Neoplasms
,"Malignant neoplasms of oesophagogastric
junction","الأورام الخبيثة للمريء المعدي
تقاطع",Neoplasms
,Adenocarcinoma of oesophagogastric junction,السرطان الغدي في موصل المريء المعدي,Neoplasms
,"Other specified malignant neoplasm of
oesophagogastric junction","ورم خبيث محدد آخر
وصلة المريء المعدية",Neoplasms
,"Malignant neoplasms of oesophagogastric
junction, unspecified","الأورام الخبيثة للمريء المعدي
تقاطع ، غير محدد تقريبا",Neoplasms
,Malignant neoplasms of stomach,الأورام الخبيثة في المعدة,Neoplasms
,Adenocarcinoma of stomach,سرطان المعدة الغدي,Neoplasms
,Malignant neuroendocrine neoplasm of stomach,ورم الغدد الصم العصبية الخبيثة في المعدة,Neoplasms
,Other specified malignant neoplasms of stomach,الأورام الخبيثة الأخرى المحددة في المعدة,Neoplasms
,"Malignant neoplasms of stomach, unspecified",أورام خبيثة في المعدة غير محددة تقريبا,Neoplasms
,Malignant neoplasms of small intestine,الأورام الخبيثة في الأمعاء الدقيقة,Neoplasms
,Malignant neoplasms of duodenum,الأورام الخبيثة في الاثني عشر,Neoplasms
,Adenocarcinoma of duodenum,السرطان الغدي في الاثني عشر,Neoplasms
,Neuroendocrine neoplasm of duodenum,أورام الغدد الصماء العصبية في الاثني عشر,Neoplasms
,"Other specified malignant neoplasms of the
duodenum","الأورام الخبيثة الأخرى المحددة في
الاثني عشر",Neoplasms
,"Malignant neoplasms of duodenum, unspecified",الأورام الخبيثة في الاثني عشر غير محددة تقريبا,Neoplasms
,Malignant neoplasms of jejunum or ileum,الأورام الخبيثة من الصائم أو الدقاق,Neoplasms
,Adenocarcinoma of jejunum or ileum,سرطان الغدي في الصائم أو الدقاق,Neoplasms
,Neuroendocrine neoplasms of jejunum or ileum,أورام الغدد الصم العصبية من الصائم أو الدقاق,Neoplasms
,"Other specified malignant neoplasms of jejunum
or ileum","الأورام الخبيثة الأخرى المحددة في الصائم
أو الدقاق",Neoplasms
,"Malignant neoplasms of jejunum or ileum,
unspecified","الأورام الخبيثة من الصائم أو الدقاق ،
محدد",Neoplasms
,"Malignant neoplasms of small intestine, site
unspecified","الأورام الخبيثة في الأمعاء الدقيقة ، الموقع
محدد",Neoplasms
,"Adenocarcinoma of small intestine, site
unspecified","سرطان الأمعاء الدقيقة ، الموقع
محدد",Neoplasms
,"Neuroendocrine neoplasms of small intestine,
site unspecified","أورام الغدد الصم العصبية في الأمعاء الدقيقة ،
الموقع غير محدد",Neoplasms
,"Other specified malignant neoplasms of small
intestine, site unspecified","الأورام الخبيثة المحددة الأخرى الصغيرة
الأمعاء ، موقع غير محدد تقريبا",Neoplasms
,"Other specified malignant neoplasms of small
intestine","الأورام الخبيثة المحددة الأخرى الصغيرة
الامعاء",Neoplasms
,"Malignant neoplasms of small intestine,
unspecified","الأورام الخبيثة في الأمعاء الدقيقة ،
محدد",Neoplasms
,Malignant neoplasms of appendix,الأورام الخبيثة في الزائدة الدودية,Neoplasms
,Adenocarcinoma of appendix,السرطان الغدي في الزائدة الدودية,Neoplasms
,Mucinous adenocarcinoma of appendix,السرطان الغدي المخاطي للزائدة الدودية,Neoplasms
,Neuroendocrine neoplasms of appendix,أورام الغدد الصماء العصبية في الزائدة الدودية,Neoplasms
,"Other specified malignant neoplasms of
appendix","الأورام الخبيثة المحددة الأخرى
التذييل",Neoplasms
,"Malignant neoplasms of appendix, unspecified",الأورام الخبيثة في الزائدة الدودية غير محددة تقريبا,Neoplasms
,Malignant neoplasms of colon,أورام القولون الخبيثة,Neoplasms
,"Malignant neoplasm of ascending colon and
right flexure of colon","الأورام الخبيثة للقولون الصاعد و
الانثناء الأيمن للقولون",Neoplasms
,"Adenocarcinoma of ascending colon or right
flexure of colon","السرطان الغدي في القولون الصاعد أو الأيمن
ثني القولون",Neoplasms
,"Other specified malignant neoplasm of
ascending colon and right flexure of colon","ورم خبيث محدد آخر
القولون الصاعد والانثناء الأيمن للقولون",Neoplasms
,"Malignant neoplasm of ascending colon and
right flexure of colon, unspecified","الأورام الخبيثة للقولون الصاعد و
الانثناء الأيمن للقولون ، غير محدد تقريبا",Neoplasms
,"Malignant neoplasm of descending colon and
splenic flexure of colon","الورم الخبيث في القولون الهابط و
ثني الطحال في القولون",Neoplasms
,"Adenocarcinoma of descending colon or splenic
flexure of colon","السرطان الغدي للقولون الهابط أو الطحال
ثني القولون",Neoplasms
,Other specified malignant neoplasm of descending colon and splenic flexure of colon,ورم خبيث محدد آخر للقولون الهابط وانثناء الطحال للقولون,Neoplasms
,"Malignant neoplasm of descending colon and
splenic flexure of colon, unspecified","الورم الخبيث في القولون الهابط و
ثني الطحال في القولون ، غير محدد تقريبا",Neoplasms
,Malignant neoplasm of transverse colon,الأورام الخبيثة للقولون المستعرض,Neoplasms
,Adenocarcinoma of transverse colon,السرطان الغدي في القولون المستعرض,Neoplasms
,"Other specified malignant neoplasm of
transverse colon","ورم خبيث محدد آخر
القولون المستعرض",Neoplasms
,"Malignant neoplasm of transverse colon,
unspecified","ورم خبيث من القولون المستعرض ،
محدد",Neoplasms
,Malignant neoplasm of sigmoid colon,الورم الخبيث في القولون السيني,Neoplasms
,Adenocarcinoma of sigmoid colon,السرطان الغدي في القولون السيني,Neoplasms
,"Other specified malignant neoplasm of sigmoid
colon","الأورام الخبيثة الأخرى المحددة من السيني
قولون",Neoplasms
,"Malignant neoplasm of sigmoid colon,
unspecified","الأورام الخبيثة من القولون السيني ،
محدد",Neoplasms
,Other specified malignant neoplasms of colon,الأورام الخبيثة الأخرى المحددة في القولون,Neoplasms
,"Malignant neoplasms of colon, unspecified","الأورام الخبيثة في القولون ، غير محددة تقريبا",Neoplasms
,Malignant neoplasms of rectosigmoid junction,الأورام الخبيثة للوصلة السينية المستقيمية,Neoplasms
,Adenocarcinoma of rectosigmoid junction,السرطان الغدي في الوصلة المستقيمية السينية,Neoplasms
,"Other specified malignant neoplasms of
rectosigmoid junction","الأورام الخبيثة المحددة الأخرى
تقاطع مستقيم السيني",Neoplasms
,"Malignant neoplasms of rectosigmoid junction,
unspecified","الأورام الخبيثة من تقاطع السيني المستقيم,
محدد",Neoplasms
,Malignant neoplasms of rectum,الأورام الخبيثة في المستقيم,Neoplasms
,Adenocarcinomas of rectum,الأورام الغدية في المستقيم,Neoplasms
,Neuroendocrine neoplasms of rectum,أورام الغدد الصم العصبية في المستقيم,Neoplasms
,Other specified malignant neoplasms of rectum,الأورام الخبيثة الأخرى المحددة في المستقيم,Neoplasms
,"Malignant neoplasms of rectum, unspecified",الأورام الخبيثة في المستقيم غير محددة تقريبا,Neoplasms
,"Malignant neoplasms of large intestine, site
unspecified","الأورام الخبيثة في الأمعاء الغليظة ، الموقع
محدد",Neoplasms
,"Adenocarcinoma of large intestine, site
unspecified","سرطان الأمعاء الغليظة ، الموقع
محدد",Neoplasms
,"Other specified malignant neoplasms of large intestine, site unspecified","الأورام الخبيثة المحددة الأخرى في الأمعاء الغليظة ، موقع غير محدد تقريبا",Neoplasms
,"Malignant neoplasms of large intestine, site and
type unspecified","الأورام الخبيثة في الأمعاء الغليظة والموقع و
اكتب غير محدد",Neoplasms
,"Other specified malignant neoplasms of large
intestine","الأورام الخبيثة الأخرى المحددة من كبيرة
الامعاء",Neoplasms
,"Malignant neoplasms of large intestine,
unspecified","الأورام الخبيثة في الأمعاء الغليظة ،
محدد",Neoplasms
,Malignant neoplasms of anus or anal canal,الأورام الخبيثة في فتحة الشرج أو القناة الشرجية,Neoplasms
,Adenocarcinoma of anus or anal canal,السرطان الغدي في فتحة الشرج أو القناة الشرجية,Neoplasms
,Melanoma of anus or anal canal,الورم الميلانيني في فتحة الشرج أو القناة الشرجية,Neoplasms
,Neuroendocrine neoplasm of anus or anal canal,ورم الغدد الصماء العصبية في فتحة الشرج أو القناة الشرجية,Neoplasms
,Squamous cell carcinoma of anus or anal canal,سرطان الخلايا الحرشفية في فتحة الشرج أو القناة الشرجية,Neoplasms
,"Other specified malignant neoplasms of anus
and anal canal","الأورام الخبيثة الأخرى المحددة في فتحة الشرج
والقناة الشرجية",Neoplasms
,"Malignant neoplasms of anus or anal canal,
unspecified","الأورام الخبيثة في فتحة الشرج أو القناة الشرجية ،
محدد",Neoplasms
,Other specified malignant neoplasms of intestine,الأورام الخبيثة الأخرى المحددة في الأمعاء,Neoplasms
,"Malignant neoplasms of intestine, unspecified",أورام خبيثة في الأمعاء غير محددة تقريبا,Neoplasms
,Malignant neoplasm of pancreas,ورم خبيث من البنكرياس,Neoplasms
,Adenocarcinoma of pancreas,السرطان الغدي في البنكرياس,Neoplasms
,Neuroendocrine neoplasms of pancreas,أورام الغدد الصماء العصبية في البنكرياس,Neoplasms
,"Other specified malignant neoplasms of
pancreas","الأورام الخبيثة المحددة الأخرى
بنكرياس",Neoplasms
,"Malignant neoplasm of pancreas, unspecified",ورم خبيث في البنكرياس غير محدد تقريبا,Neoplasms
,"Malignant neoplasms of other or ill-defined
digestive organs","الأورام الخبيثة الأخرى أو غير المحددة
الجهاز الهضمي",Neoplasms
,"Adenocarcinoma of other or ill-defined digestive
organs","سرطان غدي في الجهاز الهضمي الآخر أو غير محدد
الاجهزه",Neoplasms
,Mucinous carcinoma of other or ill-defined digestive organs,السرطان المخاطي للأعضاء الهضمية الأخرى أو غير المحددة,Neoplasms
,Other specified malignant neoplasms of other or ill-defined digestive organs,الأورام الخبيثة الأخرى المحددة للأعضاء الهضمية الأخرى أو غير المحددة,Neoplasms
,"Malignant neoplasms of other or ill-defined digestive organs, unspecified","الأورام الخبيثة في أعضاء الجهاز الهضمي الأخرى أو غير المحددة بشكل غير محدد ، غير محددة تقريبا",Neoplasms
,"Malignant neoplasms of liver or intrahepatic bile
ducts","الأورام الخبيثة في الكبد أو الصفراء داخل الكبد
القنوات",Neoplasms
,Malignant neoplasm of liver,ورم الكبد الخبيث,Neoplasms
,Combined hepatocellular-cholangiocarcinoma,سرطان كبدي وسرطان القنوات الصفراوية المشترك,Neoplasms
,Hepatoblastoma,الورم الأرومي الكبدي,Neoplasms
,Hepatocellular carcinoma of liver,سرطان الخلايا الكبدية في الكبد,Neoplasms
,Mesothelial carcinoma of liver,سرطان الظهارة المتوسطة في الكبد,Neoplasms
,Other specified malignant neoplasm of liver,أورام خبيثة أخرى محددة في الكبد,Neoplasms
,Malignant neoplasm of intrahepatic bile ducts,الأورام الخبيثة في القنوات الصفراوية داخل الكبد,Neoplasms
,Intrahepatic cholangiocarcinoma,سرطان القنوات الصفراوية داخل الكبد,Neoplasms
,"Other specified malignant neoplasms of
intrahepatic bile ducts","الأورام الخبيثة المحددة الأخرى
القنوات الصفراوية داخل الكبد",Neoplasms
,"Malignant neoplasms of liver or intrahepatic bile
ducts, unspecified","الأورام الخبيثة في الكبد أو الصفراء داخل الكبد
مجاري غير محددة",Neoplasms
,Malignant neoplasms of gallbladder,الأورام الخبيثة في المرارة,Neoplasms
,Adenocarcinoma of the gallbladder,سرطان المرارة الغدي,Neoplasms
,"Other specified malignant neoplasm of
gallbladder","ورم خبيث محدد آخر
المراره",Neoplasms
,"Malignant neoplasms of gallbladder, unspecified",الأورام الخبيثة في المرارة غير المحددة تقريبا,Neoplasms
,"Malignant neoplasms of proximal biliary tract,
cystic duct","الأورام الخبيثة في القناة الصفراوية القريبة ،
القناة الكيسية",Neoplasms
,"Adenocarcinoma of proximal biliary tract, cystic
duct","السرطان الغدي في القناة الصفراوية القريبة ، الكيسي
القناه",Neoplasms
,Mucinous cystic neoplasm with associated invasive carcinoma of cystic duct,الورم الكيسي المخاطي مع السرطان الغازي المصاحب للقناة الكيسية,Neoplasms
,Neuroendocrine neoplasms of cystic duct,أورام الغدد الصم العصبية في القناة الكيسية,Neoplasms
,"Other specified malignant neoplasms of biliary tract, cystic duct",الأورام الخبيثة المحددة الأخرى في القناة الصفراوية والقناة الكيسية,Neoplasms
,"Malignant neoplasms of proximal biliary tract,
cystic duct, unspecified","الأورام الخبيثة في القناة الصفراوية القريبة ،
القناة الكيسية غير المحددة",Neoplasms
,"Malignant neoplasms of biliary tract, distal bile
duct","الأورام الخبيثة في القناة الصفراوية ، الصفراء البعيدة
القناه",Neoplasms
,"Adenocarcinoma of biliary tract, distal bile duct","السرطان الغدي في القناة الصفراوية ، القناة الصفراوية البعيدة",Neoplasms
,Mucinous cystic neoplasm with associated invasive carcinoma of distal bile duct,الورم الكيسي المخاطي مع السرطان الغازي المرتبط بالقناة الصفراوية البعيدة,Neoplasms
,Neuroendocrine neoplasms of distal bile duct,أورام الغدد الصماء العصبية في القناة الصفراوية البعيدة,Neoplasms
,"Other specified malignant neoplasms of biliary
tract, distal bile duct","الأورام الخبيثة الأخرى المحددة في القناة الصفراوية
المسالك ، القناة الصفراوية البعيدة",Neoplasms
,"Malignant neoplasms of biliary tract, distal bile
duct, unspecified","الأورام الخبيثة في القناة الصفراوية ، الصفراء البعيدة
قناة ، غير محددة",Neoplasms
,Malignant neoplasms of ampulla of Vater,الأورام الخبيثة من أمبولة فاتر,Neoplasms
,Adenocarcinoma of ampulla of Vater,السرطان الغدي في أمبولة فاتر,Neoplasms
,Neuroendocrine neoplasms of ampulla of Vater,أورام الغدد الصم العصبية في أمبولة فاتر,Neoplasms
,"Other specified malignant neoplasms of ampulla
of Vater","الأورام الخبيثة الأخرى المحددة من الأمبولة
من فاتر",Neoplasms
,"Malignant neoplasms of ampulla of Vater,
unspecified","الأورام الخبيثة من أمبولة فاتر ،
محدد",Neoplasms
,"Malignant neoplasms of other or unspecified
parts of biliary tract","الأورام الخبيثة من غيرها أو غير محددة تقريبا
أجزاء من القناة الصفراوية",Neoplasms
,"Adenocarcinoma of other or unspecified parts
of biliary tract","سرطان غدي في أجزاء أخرى أو غير محددة
من القناة الصفراوية",Neoplasms
,"Mucinous cystic neoplasm with associated invasive carcinoma of other or unspecified parts
of biliary tract","الورم الكيسي المخاطي مع السرطان الغازي المصاحب لأجزاء أخرى أو غير محددة
من القناة الصفراوية",Neoplasms
,Neuroendocrine neoplasms of other or unspecified parts of biliary tract,أورام الغدد الصم العصبية في أجزاء أخرى أو غير محددة من القناة الصفراوية,Neoplasms
,Other specified malignant neoplasms of overlapping lesion of biliary tract,الأورام الخبيثة المحددة الأخرى لآفة متداخلة في القناة الصفراوية,Neoplasms
,"Malignant neoplasms of other or unspecified parts of biliary tract, unspecified","الأورام الخبيثة في أجزاء أخرى أو غير محددة من القناة الصفراوية ، غير محددة تقريبا",Neoplasms
,Malignant neoplasms of perihilar bile duct,الأورام الخبيثة في القناة الصفراوية المحيطة بالنقرات,Neoplasms
,Hilar cholangiocarcinoma,سرطان القنوات الصفراوية Hilar,Neoplasms
,Mucinous cystic neoplasm with associated invasive carcinoma of perihilar bile duct,الورم الكيسي المخاطي مع السرطان الغازي المرتبط بالقناة الصفراوية المحيطة بالحيلة,Neoplasms
,Neuroendocrine neoplasm of perihilar bile duct,ورم الغدد الصماء العصبية في القناة الصفراوية المحيطة بالحيلة,Neoplasms
,"Other specified malignant neoplasms of
perihilar bile duct","الأورام الخبيثة المحددة الأخرى
القناة الصفراوية المحيطة",Neoplasms
,"Malignant neoplasms of perihilar bile duct,
unspecified","الأورام الخبيثة في القناة الصفراوية المحيطة ،
محدد",Neoplasms
,"Malignant neoplasms of digestive organs,
unspecified","الأورام الخبيثة في الجهاز الهضمي ،
محدد",Neoplasms
,Malignant neoplasms of nasal cavity,الأورام الخبيثة في تجويف الأنف,Neoplasms
,Adenocarcinoma of nasal cavity,السرطان الغدي في تجويف الأنف,Neoplasms
,"Malignant neuroepitheliomatous neoplasm of
nasal cavity","ورم عصبي ظهاري خبيث
جوف الأنف",Neoplasms
,Melanoma of nasal cavity,الورم الميلانيني في تجويف الأنف,Neoplasms
,Olfactory neuroblastoma,الورم الأرومي العصبي الشمي,Neoplasms
,Squamous cell carcinoma of nasal cavity,سرطان الخلايا الحرشفية في تجويف الأنف,Neoplasms
,"Other specified malignant neoplasm of nasal
cavity","ورم خبيث محدد آخر في الأنف
تجويف",Neoplasms
,"Malignant neoplasms of nasal cavity, unspecified","الأورام الخبيثة في تجويف الأنف ، غير محددة تقريبا",Neoplasms
,Malignant neoplasms of middle ear,الأورام الخبيثة في الأذن الوسطى,Neoplasms
,Adenocarcinoma of middle ear,السرطان الغدي في الأذن الوسطى,Neoplasms
,Squamous cell carcinoma of middle ear,سرطان الخلايا الحرشفية في الأذن الوسطى,Neoplasms
,"Unspecified malignant epithelial neoplasm of
middle ear","ورم ظهاري خبيث غير محدد تقريبا
الأذن الوسطى",Neoplasms
,"Other specified malignant neoplasm of middle
ear","الأورام الخبيثة الأخرى المحددة في الوسط
أذن",Neoplasms
,"Malignant neoplasms of middle ear, unspecified",الأورام الخبيثة في الأذن الوسطى غير محددة تقريبا,Neoplasms
,Malignant neoplasms of accessory sinuses,الأورام الخبيثة في الجيوب الأنفية الملحقة,Neoplasms
,Adenocarcinoma of accessory sinuses,سرطان غدي في الجيوب الأنفية الملحقة,Neoplasms
,Squamous cell carcinoma of accessory sinuses,سرطان الخلايا الحرشفية في الجيوب الأنفية الملحقة,Neoplasms
,Squamous cell carcinoma of sphenoidal sinus,سرطان الخلايا الحرشفية في الجيوب الأنفية الوتدية,Neoplasms
,"Squamous cell carcinoma of other specified
accessory sinuses","سرطان الخلايا الحرشفية من غيرها محددة
الجيوب الأنفية الملحقة",Neoplasms
,"Malignant epithelial neoplasms of accessory
sinuses, unspecified type","الأورام الظهارية الخبيثة من الملحقات
الجيوب الأنفية ، نوع غير محدد",Neoplasms
,Melanomas of accessory sinuses,الأورام الميلانينية في الجيوب الأنفية الملحقة,Neoplasms
,"Other specified malignant neoplasms of
accessory sinuses","الأورام الخبيثة المحددة الأخرى
الجيوب الأنفية الملحقة",Neoplasms
,"Malignant neoplasms of accessory sinuses,
unspecified","الأورام الخبيثة للجيوب الأنفية الملحقة ،
محدد",Neoplasms
,Malignant neoplasms of larynx,الأورام الخبيثة في الحنجرة,Neoplasms
,Malignant neoplasms of glottis of larynx,الأورام الخبيثة من مزمار الحنجرة,Neoplasms
,"Squamous cell carcinoma of larynx, glottis",سرطان الخلايا الحرشفية في الحنجرة والمزمار,Neoplasms
,"Other specified malignant neoplasms of larynx,
glottis","الأورام الخبيثة الأخرى المحددة في الحنجرة ،
المزمار",Neoplasms
,Malignant neoplasms of supraglottis of larynx,الأورام الخبيثة من فوق المزمار في الحنجرة,Neoplasms
,"Squamous cell carcinoma of larynx, supraglottis","سرطان الخلايا الحرشفية في الحنجرة ، فوق المزمار",Neoplasms
,"Other specified malignant neoplasms of larynx,
supraglottis","الأورام الخبيثة الأخرى المحددة في الحنجرة ،
فوق المزمار",Neoplasms
,Malignant neoplasms of subglottis of larynx,الأورام الخبيثة من التهاب المزمار الفرعي في الحنجرة,Neoplasms
,"Squamous cell carcinoma of larynx, subglottis","سرطان الخلايا الحرشفية في الحنجرة ، تحت المزمار",Neoplasms
,"Adenocarcinoma of larynx, subglottis","السرطان الغدي في الحنجرة ، تحت المزمار",Neoplasms
,"Other specified malignant neoplasms of larynx,
subglottis","الأورام الخبيثة الأخرى المحددة في الحنجرة ،
المزمار الفرعي",Neoplasms
,Malignant neoplasm of laryngeal cartilage,الأورام الخبيثة للغضروف الحنجري,Neoplasms
,"Malignant neoplasm of overlapping lesion of
larynx","الأورام الخبيثة من الآفة المتداخلة
حنجرة",Neoplasms
,"Malignant neoplasms of larynx, unspecified",الأورام الخبيثة في الحنجرة غير المحددة تقريبا,Neoplasms
,Malignant neoplasms of trachea,الأورام الخبيثة في القصبة الهوائية,Neoplasms
,Adenocarcinoma of trachea,السرطان الغدي في القصبة الهوائية,Neoplasms
,Squamous cell carcinoma of trachea,سرطان الخلايا الحرشفية في القصبة الهوائية,Neoplasms
,"Malignant epithelial neoplasms of trachea,
unspecified type","الأورام الظهارية الخبيثة في القصبة الهوائية ،
نوع غير محدد",Neoplasms
,Other specified malignant neoplasms of trachea,الأورام الخبيثة الأخرى المحددة في القصبة الهوائية,Neoplasms
,"Malignant neoplasms of trachea, unspecified",الأورام الخبيثة في القصبة الهوائية غير المحددة تقريبا,Neoplasms
,Malignant neoplasms of bronchus or lung,الأورام الخبيثة في الشعب الهوائية أو الرئة,Neoplasms
,Adenocarcinoma of bronchus or lung,السرطان الغدي في الشعب الهوائية أو الرئة,Neoplasms
,Small cell carcinoma of bronchus or lung,سرطان الخلايا الصغيرة في الشعب الهوائية أو الرئة,Neoplasms
,Squamous cell carcinoma of bronchus or lung,سرطان الخلايا الحرشفية في الشعب الهوائية أو الرئة,Neoplasms
,Large cell carcinoma of bronchus or lung,سرطان الخلايا الكبيرة في الشعب الهوائية أو الرئة,Neoplasms
,Carcinoid or other malignant neuroendocrine neoplasms of bronchus or lung,الأورام السرطاوية أو غيرها من الأورام العصبية الصماء الخبيثة في الشعب الهوائية أو الرئة,Neoplasms
,"Unspecified malignant epithelial neoplasm of
bronchus or lung","ورم ظهاري خبيث غير محدد تقريبا
الشعب الهوائية أو الرئة",Neoplasms
,"Other specified malignant neoplasms of
bronchus or lung","الأورام الخبيثة المحددة الأخرى
الشعب الهوائية أو الرئة",Neoplasms
,"Malignant neoplasms of bronchus or lung,
unspecified","الأورام الخبيثة في الشعب الهوائية أو الرئة ،
محدد",Neoplasms
,Malignant neoplasms of the pleura,الأورام الخبيثة في غشاء الجنب,Neoplasms
,Mesothelioma of pleura,ورم الظهارة المتوسطة في غشاء الجنب,Neoplasms
,"Other specified malignant neoplasms of the
pleura","الأورام الخبيثة الأخرى المحددة في
الجنبه",Neoplasms
,"Malignant neoplasms of the pleura, unspecified",الأورام الخبيثة في غشاء الجنب غير محددة تقريبا,Neoplasms
,Malignant neoplasms of thymus,الأورام الخبيثة للغدة الصعترية,Neoplasms
,Carcinoma of thymus,سرطان الغدة الصعترية,Neoplasms
,"Carcinoid tumour or other neuroendocrine
neoplasms of thymus","الورم السرطاوي أو الغدد الصماء العصبية الأخرى
أورام الغدة الصعترية",Neoplasms
,Malignant thymoma,ورم الغدة الزعترية الخبيث,Neoplasms
,Other specified malignant neoplasms of thymus,الأورام الخبيثة المحددة الأخرى للغدة الصعترية,Neoplasms
,"Malignant neoplasms of thymus, unspecified",الأورام الخبيثة للغدة الصعترية غير المحددة تقريبا,Neoplasms
,"Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura",الأورام الخبيثة في القلب أو المنصف أو ورم غشاء الجنب غير المتوسط,Neoplasms
,"Malignant germ cell neoplasms of heart, mediastinum or non-mesothelioma of pleura",أورام الخلايا الجرثومية الخبيثة في القلب أو المنصف أو ورم غشاء الجنب غير المتوسط,Neoplasms
,"Other specified malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura",أورام خبيثة أخرى محددة في القلب أو المنصف أو ورم غشاء الجنب غير المتوسط,Neoplasms
,"Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura, unspecified",الأورام الخبيثة في القلب أو المنصف أو ورم الظهارة المتوسطة غير المتوسطة لغشاء الجنب غير المحددة تقريبا,Neoplasms
,Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs,الأورام الخبيثة في مواقع أخرى أو غير محددة في الجهاز التنفسي أو الأعضاء داخل الصدر,Neoplasms
,Squamous cell carcinomas of other and ill- defined sites in the respiratory system and intrathoracic organs,سرطان الخلايا الحرشفية في مواقع أخرى وغير محددة في الجهاز التنفسي والأعضاء داخل الصدر,Neoplasms
,Other specified malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs,الأورام الخبيثة المحددة الأخرى في مواقع أخرى أو غير محددة في الجهاز التنفسي أو الأعضاء داخل الصدر,Neoplasms
,"Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic
organs, unspecified","الأورام الخبيثة في مواقع أخرى أو غير محددة في الجهاز التنفسي أو داخل الصدر
الأعضاء غير المحددة تقريبا",Neoplasms
,"Other specified malignant neoplasms of middle ear, respiratory or intrathoracic organs",الأورام الخبيثة الأخرى المحددة في الأذن الوسطى أو الجهاز التنفسي أو داخل الصدر,Neoplasms
,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs, unspecified","الأورام الخبيثة في الأذن الوسطى أو الجهاز التنفسي أو داخل الصدر ، غير محددة تقريبا",Neoplasms
,Melanoma of skin,الورم الميلانيني في الجلد,Neoplasms
,"Superficial spreading melanoma, primary","الورم الميلانيني المنتشر السطحي ، الأولي",Neoplasms
,"Nodular melanoma, primary","الورم الميلانيني العقدي ، الأولي",Neoplasms
,"Lentigo maligna melanoma, primary","الورم الميلانيني الخبيث Lentigo ، الأولي",Neoplasms
,"Acral lentiginous melanoma, primary","الورم الميلانيني العدسي الدهني ، الأولي",Neoplasms
,Other specified melanoma of skin,سرطان الجلد المحدد الآخر,Neoplasms
,"Melanoma of skin, unspecified",سرطان الجلد غير محدد,Neoplasms
,Squamous cell carcinoma of skin,سرطان الخلايا الحرشفية في الجلد,Neoplasms
,Verrucous squamous cell carcinoma of skin,سرطان الخلايا الحرشفية الدزعلب في الجلد,Neoplasms
,Cutaneous squamous cell carcinoma,سرطان الخلايا الحرشفية الجلدية,Neoplasms
,Basal cell carcinoma of skin,سرطان الخلايا القاعدية في الجلد,Neoplasms
,Nodular basal cell carcinoma of skin,سرطان الخلايا القاعدية العقدية في الجلد,Neoplasms
,Sclerosing basal cell carcinoma of skin,سرطان الخلايا القاعدية المصلب في الجلد,Neoplasms
,Superficial basal cell carcinoma of skin,سرطان الخلايا القاعدية السطحي للجلد,Neoplasms
,Other specified basal cell carcinoma of skin,سرطان الخلايا القاعدية المحدد الآخر في الجلد,Neoplasms
,"Basal cell carcinoma of skin, unspecified","سرطان الخلايا القاعدية في الجلد ، غير محدد تقريبا",Neoplasms
,Adnexal carcinoma of skin,سرطان Adnexal في الجلد,Neoplasms
,Cutaneous neuroendocrine carcinoma,سرطان الغدد الصم العصبية الجلدية,Neoplasms
,Cutaneous sarcoma,الساركوما الجلدية,Neoplasms
,Other specified malignant neoplasms of skin,أورام خبيثة أخرى محددة من الجلد,Neoplasms
,"Malignant neoplasm of skin of unknown or
unspecified type","ورم خبيث من الجلد غير معروف أو
نوع غير محدد",Neoplasms
,Malignant neuroepitheliomatous neoplasms of peripheral nerves or autonomic nervous system,الأورام العصبية الظهارية الخبيثة للأعصاب الطرفية أو الجهاز العصبي اللاإرادي,Neoplasms
,Malignant perineurioma,ورم محيط العصب الخبيث,Neoplasms
,"Other specified malignant neoplasms of peripheral nerves and autonomic nervous
system","الأورام الخبيثة المحددة الأخرى للأعصاب الطرفية والأعصاب اللاإرادية
نظام",Neoplasms
,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified","الأورام الخبيثة للأعصاب الطرفية أو الجهاز العصبي اللاإرادي ، غير محددة تقريبا",Neoplasms
,Malignant neoplasms of retroperitoneum,الأورام الخبيثة من خلف الصفاق,Neoplasms
