International non-proprietary name (INN)-8-mg/4ml-Dosage form,Proprietary (Trade) name,Prescribing level,Pre-AuthorizationProtocol
Omeprazole +  Sodium Bicarbonate 20/1680Orally,Downoprazol 20 /1680 mg 7 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 20/1680Orally,Downoprazol 20 /1680 mg 30 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 20/1680Orally,Downoprazol 20 /1680 mg 1 sachet,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 20/1680Orally,Opranate 20/1680 mg 5 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 20/1680Orally,Opranate 20/1680 mg 1 sachet,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1100Orally, Stomigas 40 /1100 mg 20 cap,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1100Orally, Stomigas 40 /1100 mg 10 cap,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Downoprazol 40/1680 mg 7 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Downoprazol 40/1680 mg 30 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Downoprazol 40/1680 mg 1 sachet,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Opranate 40/1680 mg 5 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Opranate 40/1680 mg 1 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Stomigas 40/1680 mg 10 sachets,طبيب أسرة,No
Omeprazole +  Sodium Bicarbonate 40/1680Orally,Stomigas 40/1680 mg 1 sachet,طبيب أسرة,No
Clarithromycin + Omeprazole + Tinidazole 250/20/500 Orally,PEPTIC CARE 28 tab,طبيب أسرة,Protocol
Clarithromycin + Omeprazole + Tinidazole 250/20/500 Orally,PEPTIC CARE 14 tab,طبيب أسرة,Protocol
Clarithromycin + Omeprazole + Tinidazole 250/20/500 Orally,PEPTIC CARE 7 tab,طبيب أسرة,Protocol
Rebamipide 100/Orally,Costareb 100 mg 10 tab,أخصائي,No
Rebamipide 100/Orally,Costareb 100 mg 30 tab,أخصائي,No
Rebamipide 100/Orally,Rebagenase 100 mg 30 tab,أخصائي,No
Rebamipide 100/Orally,Rebagenase 100 mg 10 tab,أخصائي,No
Rebamipide 100/Orally,Ulsorest 100 mg 10 tab,أخصائي,No
Rebamipide 100/Orally,Ulsorest 100 mg 30 tab,أخصائي,No
Rebamipide 100/Orally,Mucosta 100 mg 10 tab,أخصائي,No
Rebamipide 100/Orally,Mucosta 100 mg 20 tab,أخصائي,No
"Metoclopramide 10/I.M, Slow I.V",MECLOPRAM 10mg/2ml 5 amp,طبيب أسرة,No
"Metoclopramide 10/I.M, Slow I.V",MECLOPRAM 10mg/2ml amp,طبيب أسرة,No
"Metoclopramide 10/I.M, Slow I.V",SUNNYPYRAMID 10 mg/2ml 5 amp,طبيب أسرة,No
"Metoclopramide 10/I.M, Slow I.V",SUNNYPYRAMID 10 mg/2ml 50 amp,طبيب أسرة,No
"Metoclopramide 10/I.M, Slow I.V",SUNNYPYRAMID 10 mg/2ml amp,طبيب أسرة,No
Metoclopramide 10/Orally,Meclopram 10 mg 20 tab,طبيب أسرة,No
Metoclopramide 10/Orally,Meclopram 10 mg 10 tab,طبيب أسرة,No
Domperidone 10/Orally,Gastromotil 10 mg 10 tab,طبيب أسرة,No
Domperidone 10/Orally,Gastromotil 10 mg 20 tab,طبيب أسرة,No
Domperidone 10/Orally,Motilium 10 mg 40 tab,طبيب أسرة,No
Domperidone 10/Orally,Motilium 10 mg 10 tab,طبيب أسرة,No
Domperidone 1/Orally,Gastromotil 5mg/5ml 200 ml suspension,طبيب أسرة,No
Domperidone 1/Orally,Gastromotil 5mg/5ml 120ml suspension,طبيب أسرة,No
Domperidone 1/Orally,Farcotilium 5mg/5ml 120 ml  suspnsion,طبيب أسرة,No
Domperidone 30/Rectal ,MOTINORM 30 mg 5 supp,طبيب أسرة,No
"Adrenal (extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids) + Pyridoxine 100/50I.M",CORTIPLEX B6 Adult 1 ml  3 amp,طبيب أسرة,No
"Adrenal (extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids) + Pyridoxine 100/50I.M",CORTIPLEX B6 Adult 1 ml amp,طبيب أسرة,No
"Adrenal (extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids) + Pyridoxine 150/20I.M",Cortiplex B6 Paediatric 1 ml 3 amp,طبيب أسرة,No
"Adrenal (extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids) + Pyridoxine 150/20I.M",Cortiplex B6 Paediatric 1 ml amp,طبيب أسرة,No
Sulfasalazine  500/Orally,COLOSALAZINE-EC 500 mg 20 tab,أخصائي,Protocol
Sulfasalazine  500/Orally,COLOSALAZINE-EC 500 mg 10 tab,أخصائي,Protocol
Mesalazine 500/Orally,Marsalaz 500 mg 30 tab,أخصائي,Protocol
Mesalazine 500/Orally,Marsalaz 500 mg 10 tab,أخصائي,Protocol
Mesalazine 500/Orally,Salofalk 500 mg 20 tab,أخصائي,Protocol
Mesalazine 500/Orally,Salofalk 500 mg 10 tab,أخصائي,Protocol
Mesalazine 500/Orally,Pentasa 500 mg 10 tab,أخصائي,Protocol
Mesalazine 500/Orally,Pentasa 500 mg 100 tab,أخصائي,Protocol
Mesalazine 1000/Orally,PENTASA 1000 mg 50 sachets,أخصائي,Protocol
Mesalazine 1000/Orally,PENTASA 1000 mg 1 sachet,أخصائي,Protocol
Mesalazine 2000/Orally,PENTASA XTEND 2 gm 60 sachets,أخصائي,Protocol
Mesalazine 2000/Orally,PENTASA XTEND 2 gm 1 sachet,أخصائي,Protocol
Mesalazine 1000/Rectal ,Pentasa 1000 mg 28 supp,أخصائي,Protocol
Mesalazine 1000/Rectal ,Pentasa 1000 mg 7supp,أخصائي,Protocol
Mesalazine 10/Rectal ,Pentasa 1000 mg 100 ml 7 enemas,أخصائي,Protocol
Mesalazine 10/Rectal ,Pentasa 1000 mg 100 ml enema,أخصائي,Protocol
Budesonide (Oral) 9/Orally,Ekmasonid XR 9 mg 10 tab,أخصائي,Protocol
Budesonide (Oral) 9/Orally,Cortiment MMX 9 mg 30 tab,أخصائي,Protocol
Budesonide (Oral) 9/Orally,Cortiment MMX 9 mg 10 tab,أخصائي,Protocol
Bisacodyl  5/Rectal ,Bisadyl 5 mg  5supp,طبيب أسرة,No
Bisacodyl  10/Rectal ,Bisadyl 10 mg 5 supp,طبيب أسرة,No
Bisacodyl  10/Rectal ,Bisadyl 10 mg 10 supp,طبيب أسرة,No
Bisacodyl  5/Orally,BISADYL 5mg 30 tab,طبيب أسرة,No
Bisacodyl  5/Orally,BISADYL 5mg 10 tab,طبيب أسرة,No
Glycerol + Gelatin agents 1.47/Rectal ,glycerin adult 10 supp,طبيب أسرة,No
Glycerol + Gelatin agents 735/Rectal ,GLYCERIN infantile 10 supp,طبيب أسرة,No
Lactulose 660/Orally,Golden lax 3.3 gm/5ml 120 ml syrup,طبيب أسرة,No
Lactulose 670/Orally,Lactulose Hek 3.35 mg/5ml 120 ml syrup,طبيب أسرة,No
Lactulose 667/Orally,Duphalac 3.335 mg/5ml 200 ml syrup,طبيب أسرة,No
Lactulose 667/Orally,Duphalac Sticks 3.335 mg/5ml 15 ml 20 sticks,طبيب أسرة,No
Lactulose 667/Orally,Duphalac Sticks 3.335 mg/5ml 15 ml 1 stick,طبيب أسرة,No
Docusate sodium 20/Orally,EGYCUSATE 20 mg/5ml 100 ml syrup,طبيب أسرة,No
Docusate sodium 50/8.6Orally,EGYCUSATE PLUS 30 tab,طبيب أسرة,No
Docusate sodium 50/8.6Orally,EGYCUSATE PLUS 10 tab,طبيب أسرة,No
Senna Extract 100/Orally,PURGATON 100 mg 30 tab,طبيب أسرة,No
Senna Extract 100/Orally,PURGATON 100mg 10 tab,طبيب أسرة,No
Senna Extract 20/Orally,SENNALAX 20 mg 10 tab,طبيب أسرة,No
Senna Extract 20/Orally,SENNALAX 20 mg 30 tab,طبيب أسرة,No
Senna Extract + Plantago seed + Ispaghula Husk 0.124/0.52/0.11 Orally,AGIOLAX 12 sachets,أخصائي,No
Senna Extract + Plantago seed + Ispaghula Husk 0.124/0.52/0.11 Orally,AGIOLAX 1 sachet,أخصائي,No
Sodium Picosulfate 7.5/Orally,PICOLAX 7.5 mg/ml 15 ml oral drops,طبيب أسرة,No
Mono Sodium Phosphate + Disodium Phosphate 160/60Rectal,Enemax 120 ml,أخصائي,No
Loperamide oxide 2/Orally,Motijust 2 mg 10 cap,أخصائي,Protocol
Loperamide oxide 2/Orally,Motijust 2 mg 30 cap,استشاري,Protocol
Loperamide oxide 2/Orally,Stoprrhea 2 mg 10 tab,استشاري,Protocol
Loperamide oxide 2/Orally,Stoprrhea 2 mg 30 tab,استشاري,Protocol
Loperamide oxide 2/Orally,IMODIUM INSTANTS 2 mg 6 tab,استشاري,Protocol
Kaolin + Pectin 965/21.5orally,Kapect 120 ml suspension,طبيب أسرة,No
Kaolin + Pectin 80/80/15 Orally,DIASTOP 60 ml suspension,طبيب أسرة,No
Nifuroxazide 200/Orally,Antinal  200 mg 24 cap,طبيب أسرة,No
Nifuroxazide 200/Orally,Antinal  200 mg 12cap,طبيب أسرة,No
Nifuroxazide 200/Orally,Diax 200 mg 12 cap,طبيب أسرة,No
Nifuroxazide 200/Orally,Diaxnol 200 mg 20 cap,طبيب أسرة,No
Nifuroxazide 200/Orally,Diaxnol 200 mg 10 cap,طبيب أسرة,No
Nifuroxazide 200/Orally,Diaxnol200 mg/5ml 60 ml suspension,طبيب أسرة,No
Racecadotril 10/Orally,Hidrasec 10 mg 16 sachets,طبيب أسرة,No
Racecadotril 10/Orally,Hidrasec 10 mg 1 sachet,طبيب أسرة,No
Racecadotril 30/Orally,Hidrasec 30mg 16 sachets,طبيب أسرة,No
Racecadotril 30/Orally,Hidrasec 30mg 1 sachet,طبيب أسرة,No
Racecadotril 100/Orally,Hidrasec 100 mg 10 cap,طبيب أسرة,No
Lactobacillus acidophilus 170/Orally,Lacteol Fort 170 mg 12 cap,طبيب أسرة,No
Lactobacillus acidophilus 170/Orally,Lacteol Fort 170 mg 6 cap,طبيب أسرة,No
Lactobacillus acidophilus 340/Orally,Lacteol Fort 340 mg 6 sachets,طبيب أسرة,No
Lactobacillus acidophilus 340/Orally,Lacteol Fort 340 mg 1 sachet,طبيب أسرة,No
Hyoscine butylbromide 10/Orally,Butacid 10 mg 20 tab,طبيب أسرة,No
Hyoscine butylbromide 10/Orally,Butacid 10 mg 10 tab,طبيب أسرة,No
Hyoscine butylbromide 10/Orally,BUSCOPAN 10 mg 20 tab,طبيب أسرة,No
Hyoscine butylbromide 10/Orally,BUSCOPAN 10 mg 10 tab,طبيب أسرة,No
"Hyoscine butylbromide 20/I.M, I.V, S.C",BUSCOPAN 20 mg/ml 6 amp,طبيب أسرة,No
"Hyoscine butylbromide 20/I.M, I.V, S.C",BUSCOPAN 20 mg/ml amp,طبيب أسرة,No
Hyoscine butylbromide+Ketoprofen 20/100I.M,Spasmofen 2 ml  3 amp,طبيب أسرة,No
Hyoscine butylbromide+Ketoprofen 20/100I.M,Spasmofen 2 ml amp,طبيب أسرة,No
Trimebutine 100/Orally,Gast - Reg 100 mg 30 tab,طبيب أسرة,No
Trimebutine 100/Orally,Gast - Reg 100 mg 10 tab,طبيب أسرة,No
Trimebutine 200/Orally,Gast - Reg 200 mg 30 tab,طبيب أسرة,No
Trimebutine 200/Orally,Gast - Reg 200 mg 10 tab,طبيب أسرة,No
Trimebutine 24/Orally,Gast - Reg 24 mg/5ml 125 ml suspension,طبيب أسرة,No
Mebeverine 100/Orally,Spasmotalin 100 mg 10 tab,طبيب أسرة,No
Mebeverine 100/Orally,Spasmotalin 100 mg 20 tab,طبيب أسرة,No
Mebeverine 135/Orally,Mepacolon 135mg 10 tab,طبيب أسرة,No
Mebeverine 135/Orally,Mepacolon 135mg 20 tab,طبيب أسرة,No
Mebeverine 200/Orally,Mebefac 200 mg 30 tab,طبيب أسرة,No
Mebeverine 200/Orally,Mebefac 200 mg 10 tab,طبيب أسرة,No
Mebeverine 200/Orally,Mepacolon 200 mg SR 10 tab,طبيب أسرة,No
Mebeverine 200/Orally,Mepacolon 200 mg SR 20 tab,طبيب أسرة,No
Mebeverine 200/Orally,Duspatalin Retard 200 mg 30 tab,طبيب أسرة,No
Mebeverine 200/Orally,Duspatalin Retard 200 mg 15 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colona 100/25 mg 10 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colona 100/25 mg 30 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colovatil 100/25 mg 30 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colovatil 100/25 mg 10 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colsevere 100/25 mg 30 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colsevere 100/25 mg 10 tab,طبيب أسرة,No
Mebeverine + Sulpiride 100/25Orally,Colsevere 100/25 mg 20 tab,طبيب أسرة,No
Mebeverine + Chlordiazepoxide 135/5Orally,COLOVERIN -A 135/5 mg 30 tab,طبيب أسرة,No
Mebeverine + Chlordiazepoxide 135/5Orally,COLOVERIN -A 135/5 mg 10 tab,طبيب أسرة,No
Sulpiride 50/Orally,Dogmatil 50 mg 30 cap,أخصائي,No
Sulpiride 50/Orally,Dogmatil 50 mg 10 cap,أخصائي,No
Sulpiride 200/Orally,TOPMODE FORTE 200 mg 10 tab,أخصائي,No
Sulpiride 200/Orally,DOGMATIL FORT 200 mg 10 tab,أخصائي,No
Sulpiride 200/Orally,DOGMATIL FORT 200 mg 30 tab,أخصائي,No
"Tiemonium 5/I.M, Slow I.V",SPASMOFREE 5 mg/2ml 3 amp,طبيب أسرة,No
"Tiemonium 5/I.M, Slow I.V",SPASMOFREE 5 mg/2ml amp,طبيب أسرة,No
Tiemonium 10/Orally,Viscera 10 mg/5ml 120 ml syrup,طبيب أسرة,No
Tiemonium 50/Orally,Visceralgine 50 mg 20 tab,طبيب أسرة,No
Tiemonium 50/Orally,Visceralgine 50 mg 10 tab,طبيب أسرة,No
Pinaverium Bromide 50/Orally,Royaverium 50 mg 30 tab,أخصائي,No
Pinaverium Bromide 50/Orally,Royaverium 50 mg 10 tab,أخصائي,No
Pinaverium Bromide 100/Orally,Royaverium 100 mg 10 tab,أخصائي,No
Pinaverium Bromide 100/Orally,Dicetel 100 mg 20 tab,أخصائي,No
Pinaverium Bromide 100/Orally,Dicetel 100 mg 10 tab,أخصائي,No
Itopride 50/Orally,Alkapride 50 mg 30 tab,طبيب أسرة,No
Itopride 50/Orally,Alkapride 50 mg 10 tab,طبيب أسرة,No
Itopride 50/Orally,Itomash 50 mg 30 tab,طبيب أسرة,No
Itopride 50/Orally,Itomash 50 mg 10 tab,طبيب أسرة,No
Itopride 50/Orally,Ganaton 50 mg 30 tab,طبيب أسرة,No
Itopride 50/Orally,Ganaton 50 mg 10 tab,طبيب أسرة,No
Magaldrate 480/Orally,Magaldrate 10 Chewable tablets (USP24),طبيب أسرة,No
Magaldrate 480/Orally,Magaldrate 20 Chewable tablets (USP24),طبيب أسرة,No
Sodium alginate + Potassium Bicarbonate 1000/200Orally,ALGINASCON 150 ml suspension,طبيب أسرة,No
Magnesium hydroxide + Aluminum hydroxide (gel) + Simethicone 175/200/25 Orally,Maalox Plus 180 ml suspension,طبيب أسرة,No
Sodium alginate + Potassium Bicarbonate 500/100Orally,GAVISCON ADVANCE 150 ml suspension,طبيب أسرة,No
Sodium alginate + Sodium Bicarbonate + Calcium Carbonate 500/267/160 Orally,Gaviscon 10 ml 24  Liquid Sachet,طبيب أسرة,No
Sodium alginate + Sodium Bicarbonate + Calcium Carbonate 500/267/160 Orally,Gaviscon 10 ml 1 Liquid Sachet,طبيب أسرة,No
Calcium Carbonate + Glycine + Dimethicone 420/180/10 Orally,GLYCODAL 10 tab,طبيب أسرة,No
Calcium Carbonate + Glycine + Dimethicone 420/180/10 Orally,GLYCODAL 30 tab,طبيب أسرة,No
Magnesium Carbonate + Calcium Carbonate 680/80Orally,Rennie 96 tab,طبيب أسرة,No
Magnesium Carbonate + Calcium Carbonate 680/80Orally,Rennie 24 tab,طبيب أسرة,No
Magnesium Carbonate + Calcium Carbonate 680/80Orally,Rennie 6 tab,طبيب أسرة,No
Sodium Bicarbonate + Citric acid + Tartaric acid 820/2800/1.33 Orally,Fawar Fruit 6 sachets,طبيب أسرة,No
Sodium Bicarbonate + Citric acid + Tartaric acid 820/2800/1.33 Orally,Fawar Fruit 1 sachet,طبيب أسرة,No
Charcoal 180/25/50 Orally,Eucarbon 30 tab,طبيب أسرة,No
Charcoal 180/25/50 Orally,Eucarbon 10 tab,طبيب أسرة,No
Simethicone 40/Orally,Baby Rest 15 ml oral drops,طبيب أسرة,No
Simethicone 40/Orally,Flatidyl 40 mg 30 tab,طبيب أسرة,No
Simethicone 40/Orally,Flatidyl 40 mg 10 tab,طبيب أسرة,No
Simethicone 62/Orally,Spasulance 62 mg 20 oral films,طبيب أسرة,No
Simethicone 62/Orally,Spasulance 62 mg 1oral film,طبيب أسرة,No
Digestive enzymes 80/8/12 Orally,Digenorm 120 ml syrup,طبيب أسرة,No
Digestive enzymes 200/20/100 Orally,ZYMOGEN FORTE 20 tab,طبيب أسرة,No
Digestive enzymes 200/20/100 Orally,ZYMOGEN FORTE 10 tab,طبيب أسرة,No
Digestive enzymes 300/180/135 Orally,Trypsican 20 tab,أخصائي,No
Digestive enzymes 300/180/135 Orally,Trypsican 30 tab,أخصائي,No
Digestive enzymes 300/180/135 Orally,Trypsican 10 tab,أخصائي,No
Pancreatin 10000//1000 Orally,creon 10000 100 cap,أخصائي,Protocol
Menthol + Chlorinated camphene 32/17/5 Orally,Bilichol 24 cap,طبيب أسرة,No
Menthol + Chlorinated camphene 32/17/5 Orally,Bilichol 12cap,طبيب أسرة,No
Menthol + Chlorinated camphene 13.6/3.4/32 Orally,Rowachol 15 cap,طبيب أسرة,No
Menthol + Chlorinated camphene 13.6/3.4/32 Orally,Rowachol 45 cap,طبيب أسرة,No
Silymarin 140/Orally,Hepamarin 140 mg 30 cap,أخصائي,No
Silymarin 140/Orally,Hepamarin 140 mg 10 cap,أخصائي,No
Silymarin 140/Orally,Sylibum 140 mg 10 sachet,أخصائي,No
Silymarin 140/Orally,Legalon 140 mg 30 cap,أخصائي,No
Silymarin 140/Orally,Legalon 140 mg 10 cap,أخصائي,No
Silymarin 160/Orally, Mepasil 160mg 20 tab,أخصائي,No
Silymarin 160/Orally, Mepasil 160mg 10 tab,أخصائي,No
Silymarin 10/Orally,Hepaticum 50 mg/5ml 120 ml syrup,أخصائي,No
Silymarin 80/Orally,Mepasil 120 ml syrup,أخصائي,No
Ursodeoxycholic acid + Silymarin 250/140Orally,URSOPLUS 250/140 mg 10 cap,أخصائي,Protocol
Ursodeoxycholic acid + Silymarin 250/140Orally,URSOPLUS 250/140 mg 20 cap,أخصائي,Protocol
Ursodeoxycholic acid 250/Orally,Exosirylic 250 mg 20 tab,أخصائي,Protocol
Ursodeoxycholic acid 250/Orally,Exosirylic 250 mg 10 tab,أخصائي,Protocol
Ursodeoxycholic acid 250/Orally,Ursofalk 250 mg 10 cap,أخصائي,Protocol
Ursodeoxycholic acid 250/Orally,Ursofalk 250 mg 20 cap,أخصائي,Protocol
Ursodeoxycholic acid 450/Orally,Biliver 450 mg 10 cap,أخصائي,Protocol
Ursodeoxycholic acid 450/Orally,Biliver 450 mg 20 cap,أخصائي,Protocol
Ursodeoxycholic acid 500/Orally,Exosirylic 500 mg 20 tab,أخصائي,Protocol
Ursodeoxycholic acid 500/Orally,Exosirylic 500 mg 10 tab,أخصائي,Protocol
Ornithine 3000/Orally,Lola West 3000 mg 6 sachets,أخصائي,Protocol
Ornithine 3000/Orally,Lola West 3000 mg 1 sachet,أخصائي,Protocol
Glyceryl trinitrate 22.4/Transdermal ,Nitrong 5mg/24hrs 7 Transdermal Patches,طبيب أسرة,No
Glyceryl trinitrate 22.4/Transdermal ,Nitrong 5mg/24hrs Transdermal Patch,طبيب أسرة,No
Glyceryl trinitrate 44.8/Transdermal ,Nitrong 10 mg /24 hrs 7 transdermal patches,طبيب أسرة,No
Glyceryl trinitrate 44.8/Transdermal ,Nitrong 10 mg /24 hrs 1 transdermal patches,طبيب أسرة,No
Glyceryl trinitrate 2.5/Orally,NITROMAK RETARD 2.5 mg 60 cap,طبيب أسرة,No
Glyceryl trinitrate 2.5/Orally,NITROMAK RETARD 2.5 mg 10 cap,طبيب أسرة,No
Glyceryl trinitrate 2.5/Orally,CARDIOCARE 2.5 mg 60 cap,طبيب أسرة,No
Glyceryl trinitrate 2.5/Orally,CARDIOCARE 2.5 mg 10 cap,طبيب أسرة,No
Glyceryl trinitrate 2.5/Orally,NITROTARD 2.5mg 60 cap,طبيب أسرة,No
Glyceryl trinitrate 2.5/Orally,NITROTARD 2.5mg 10 cap,طبيب أسرة,No
Glyceryl trinitrate 5/Orally,NITROMAK RETARD 5 mg 30 cap,طبيب أسرة,No
Glyceryl trinitrate 5/Orally,NITROMAK RETARD 5 mg 10 cap,طبيب أسرة,No
Isosorbide dinitrate 5/Sublingual,DINITRA 5 mg 30 tab,طبيب أسرة,No
Isosorbide dinitrate 5/Sublingual,DINITRA 5 mg 15 tab,طبيب أسرة,No
Isosorbide dinitrate 10/Sublingual,DINITRA 10 mg 60 tab,طبيب أسرة,No
Isosorbide dinitrate 10/Sublingual,DINITRA 10 mg 20 tab,طبيب أسرة,No
Isosorbide dinitrate 20/Orally,ISOMAK RETARD 20mg 20 cap,طبيب أسرة,No
Isosorbide dinitrate 20/Orally,ISOMAK RETARD 20mg 10 cap,طبيب أسرة,No
Isosorbide dinitrate 40/Orally,ISOMAK Retard 40mg 20 cap,طبيب أسرة,No
Isosorbide dinitrate 40/Orally,ISOMAK Retard 40mg 10 cap,طبيب أسرة,No
Isosorbide mononitrate 20/Orally,Angiofox 20 mg 20 tab,طبيب أسرة,No
Isosorbide mononitrate 20/Orally,Angiofox 20 mg 10 tab,طبيب أسرة,No
Isosorbide mononitrate 25/Orally,Angiofox 25 mg 20 cap,طبيب أسرة,No
Isosorbide mononitrate 25/Orally,Angiofox 25 mg 30 cap,طبيب أسرة,No
Isosorbide mononitrate 25/Orally,Angiofox 25 mg 10 cap,طبيب أسرة,No
Isosorbide mononitrate 40/Orally,MONOMAK 40 mg 20 tab,طبيب أسرة,No
Isosorbide mononitrate 40/Orally,MONOMAK 40 mg 10 tab,طبيب أسرة,No
Isosorbide mononitrate 40/Orally,Angiofox 40mg 20 tab,طبيب أسرة,No
Isosorbide mononitrate 40/Orally,Angiofox 40mg 10 tab,طبيب أسرة,No
Isosorbide mononitrate 50/Orally,Angiofox 50 mg 20 tab,طبيب أسرة,No
Isosorbide mononitrate 50/Orally,Angiofox 50 mg 10 tab,طبيب أسرة,No
Isosorbide mononitrate 100/Orally,Monomak depot Tablets 100 mg 10 tab,طبيب أسرة,No
Trimetazidine 20/Orally,METACARDIA 20mg 30 tab,أخصائي,Protocol
Trimetazidine 20/Orally,METACARDIA 20 mg 10 tab,أخصائي,Protocol
Trimetazidine 35/Orally,SPANIELA 35 mg 30 tab,أخصائي,Protocol
Trimetazidine 35/Orally,SPANIELA 35 mg 10 tab,أخصائي,Protocol
Trimetazidine 35/Orally,Vastarel MR 35 mg 30 tab,أخصائي,Protocol
Trimetazidine 35/Orally,Vastarel MR 35 mg 10 tab,أخصائي,Protocol
Ivabradine 5/Orally,Adwistadine 5 mg 30 tab,أخصائي,No
Ivabradine 5/Orally,Adwistadine 5 mg 10 tab,أخصائي,No
Ivabradine 5/Orally,ANGIOBRADINE 5mg 30 tab,أخصائي,No
Ivabradine 5/Orally,ANGIOBRADINE 5mg 10 tab,أخصائي,No
Ivabradine 5/Orally,NAPIBRADINE 5 mg 30 tab,أخصائي,No
Ivabradine 5/Orally,NAPIBRADINE 5 mg 10 tab,أخصائي,No
Ivabradine 5/Orally,Savapran 5 mg 20 tab,أخصائي,No
Ivabradine 5/Orally,Savapran 5 mg 10 tab,أخصائي,No
Ivabradine 5/Orally,Procoralan 5 mg 28 tab,أخصائي,No
Ivabradine 5/Orally,Procoralan 5 mg 7 tab,أخصائي,No
Ivabradine 7.5/Orally,ANGIOBRADINE 7.5 mg 30 tab,أخصائي,No
Ivabradine 7.5/Orally,ANGIOBRADINE 7.5 mg 10 tab,أخصائي,No
Ivabradine 7.5/Orally,Bradipect 7.5 mg 28 tab,أخصائي,No
Ivabradine 7.5/Orally,Bradipect 7.5 mg 7 tab,أخصائي,No
Ivabradine 7.5/Orally,NAPIBRADINE 7.5 mg 30 tab,أخصائي,No
Ivabradine 7.5/Orally,NAPIBRADINE 7.5 mg 10 tab,أخصائي,No
Ivabradine 7.5/Orally,Procoralan 7.5 mg 28 tab,أخصائي,No
Ivabradine 7.5/Orally,Procoralan 7.5 mg 7 tab,أخصائي,No
Digoxin 0.25/Orally,cardixin 0.25 mg 40  tab,طبيب أسرة,No
Digoxin 0.25/Orally,cardixin 0.25 mg 10 tab,طبيب أسرة,No
Amiodarone 200/Orally,Alexcorda 200 mg 30 tab,أخصائي,No
Amiodarone 200/Orally,Alexcorda 200 mg 10 tab,أخصائي,No
Amiodarone 200/Orally,Cardiomep 200 mg 30  tab,أخصائي,No
Amiodarone 200/Orally,Cardiomep 200 mg  tab 10 tab,أخصائي,No
Amiodarone 200/Orally,Cordarone 200 mg 30 tab,أخصائي,No
Amiodarone 200/Orally,Cordarone 200 mg 10 tab,أخصائي,No
Propafenone 150/Orally,RYTMONORM 150 mg 30 tab,أخصائي,No
Propafenone 150/Orally,RYTMONORM 150 mg 10 tab,أخصائي,No
Propafenone 300/Orally,NORMAPAFENONE 300mg 10 tab,أخصائي,No
Sotalol 80/Orally,Betacor 80 mg 30 tab,أخصائي,No
Sotalol 80/Orally,Betacor 80 mg 10 tab,أخصائي,No
Methyldopa 250/Orally,ADAMAT 250 mg 30 tab,طبيب أسرة,No
Methyldopa 250/Orally,ADAMAT 250 mg 6 cap,طبيب أسرة,No
Methyldopa 250/Orally,METHYLDOPA 250 mg 30 tab,طبيب أسرة,No
Methyldopa 250/Orally,METHYLDOPA 250 mg 10 tab,طبيب أسرة,No
"Phentolamine 10/I.V, I.M",Rogitamine 10mg/ml 5 amp,أخصائي,No
"Phentolamine 10/I.V, I.M",Rogitamine 10mg/ml amp,أخصائي,No
Propranolol 10/Orally,Prolol 10mg 50 tab,طبيب أسرة,No
Propranolol 10/Orally,Prolol 10mg 10 tab,طبيب أسرة,No
Propranolol 10/Orally,INDERAL 10 mg 50 tab,طبيب أسرة,No
Propranolol 10/Orally,INDERAL 10 mg 10 tab,طبيب أسرة,No
Propranolol 40/Orally,Prolol 40 mg 50 tab,طبيب أسرة,No
Propranolol 40/Orally,Prolol 40 mg 10 tab,طبيب أسرة,No
Propranolol 40/Orally,INDERAL 40 mg 50 tab,طبيب أسرة,No
Propranolol 40/Orally,INDERAL 40 mg 10 tab,طبيب أسرة,No
Atenolol 50/Orally,ATENO 50 mg 20 tab,طبيب أسرة,No
Atenolol 50/Orally,ATENO 50 mg 10 tab,طبيب أسرة,No
Atenolol 50/Orally,Tenormin 50 mg 28 tab,طبيب أسرة,No
Atenolol 50/Orally,Tenormin 50 mg 14 tab,طبيب أسرة,No
