uhia_code ,ar_name,en_name ,category,,,,,,,,,,,,,,,,,,
UHIA-1869,عمليات شد عظمي من الجمجمة,Reconstruction Of Skull Bone,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-1404,حقن مفصل بالعمود الفقري تحت توجيه الاشعة,One Level Facet Joint Injection Of Local Anesthesia And Steroids Uner Image Guided C -Arm Fluroscopy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0251,كسور العمود الفقري غير المركبة,Open Reduction Of Vertebra Uncomplicated Fracture,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2679,استئصال شريحة عظمية من الفقرات الصدرية,Laminectomy (Dorsal),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2680,استئصال شريحة عظمية من الفقرات العنقية,Laminectomy (Cervical ),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2681,استئصال شريحة عظمية من الفقرات القطنية,Laminectomy (Lumbar),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2682,استئصال غضروف صدري بالعمود الفقري,Thoracic Discectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2684,استئصال غضروف عنقي مرتجع.,Cervical Discectomy (Recurrent),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2685,استئصال غضروف قطني بالعمود الفقري,Lumbar Discectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0738,تفريغ - تنظيف خراج ملاصق للعمود الفقرى.,Drainage / Debridement Of Paravertebral Abscess,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0739,تفريغ نزيف من الحبل الشوكى.,Evacuation Of Spinal Haematoma,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0735,توسيع القناة الفقارية ( مستوى واحد أو متعدد) ,Spinal Stenosis Decompression By Lamenectomy (Single Or Multiple Levels),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2686,حقن فقرة متهالكة بالأسمنت الطبي ,Vertebroplasty,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2687,رفع اجهزة تثبيت فقرات ,Removal Of Spinal Fixation Implants,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2688,سمكرة الفقرات سمكرة امامية للعمود الفقري,Arthrodesis Anterior Or Anterolateral Each Additional Interspace Spine Anterior Arthrodesis,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0195,نكروز الفقرات,Sequestrectomy Of Vertebral ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2689,استئصال غضروف صدري بالمنظار ,Arthroscopic Thoracic Discectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2690,استئصال غضروف عنقي بالمنظار,Arthroscopic Cervical Discectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2691,استئصال غضروف قطني بالمنظار ,Arthroscopic Lumbar Discectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2692,تثبيت / تعديل تثبيت الفقرات.,Spinal Fixation / Revision Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2693,حقن فقرة متهالكة بالأسمنت الطبي - اكثر من فقرة ,Vertebroplasty - Multiple Levels,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2694,استكشاف الفقرات العنقية من الفم,Transoral Cervical Spine Exploration ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2695,استئصال غضروف عنقي مع تركيب قفص عنقي,Cervical Discectomy And Cage Insertion,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2696,استئصال غضروفي عنقي متعدد المستويات ,Cervical Discectomy - Multiple Levels,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2697,استئصال غضروفي عنقي مع تثبيت للفقرات - متعدد المستويات ,Cervical Discectomy With Fixation - Multiple Levels,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0713,استئصال غضروفي عنقي.,Cervical Discectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2698,استئصال فقرة بالعمود الفقري ,Vertebrectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0177,اصلاح تشوهات العمود الفقري مع تثبيت داخلي . اصلاح اعوجاج بالعمود الفقري,Correction Of Spines Deformity By Internal Fixation Scoliosis / Kyphosis Correction ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2699,التحام فقرى بمثبتات معدن للفقرات الصدرية,Dorsal Spinal Fusion,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2700,التحام فقرى بمثبتات معدن للفقرات العنقية,Cervical Spinal Fusion,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2701,التحام فقرى بمثبتات معدن للفقرات القطنية,Lumbar Spinal Fusion,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2703,تثبيت لمفصل الحوض مع العمود الفقري بمثبتات معدن,Spinopelvic Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2704,تركيب اقفاص ( عنقية / قطنية ) متعدد ,Cage Insertion ( Cervical / Lumbar ) Multiple Levels,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2705,تركيب قفص ( عنقي / قطني ) ,Cage Insertion ( Cervical / Lumbar ),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2706,تغيير مفصل عمود فقرى (عنقي / قطني ),Disc Replacement ( Cervical / Lumbar),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2707,تنظيف التهاب صديدي علي مفصل الفخذ,Debridement For Infected Arthroplasty,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2708,حقن نخاع عظمي باعلي عظمة الفخذ,Injection Of Bone Marrow Into Femoral Head,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2709,رد مغلق لخلع مفصل صناعي للفخذ,Closed Reduction Of Hip Joint Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2710,استئصال جراحي لاعلي عظمة الفخذ,Girdlestone Procedure,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2711,تثقيب لأعلى عظمة الفخذ,Core Decompression For Femoral Head Avn,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2712,ترقيع عظمي باستخدام عظمة الشظية لتآكل نكروزي باعلي عظمة الفخذ ,Fibular Grafting For Femoral Head Avn,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-1872,رد مفتوح لخلع مفصل صناعي للفخذ,Open Reduction Of Hip Joint Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0250,شد الفخذ لرفع الضغط عن العضلات والاوعية,Skeletal Traction,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0211,رفع مفصل صناعي,Removal Of Prosthesis Of Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0197,سمكرة مفصل الحوض,Arthrodesis Of Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2713,تغيير جزئي لمفصل فخذ كامل للمراجعة,Revision Tha Part,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2714,تنظيف التهاب صديدي علي مفصل الفخذ مع تغيير الرأس و الحق البلاستيكي,Debridement For Infected Arthroplasty With Exchange Of Mobile Implants,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0152,مفصل فخد لا إسمنتي جزئي استبدال حق سيراميكي,Partial Ceramic Uncemented Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2715,مفصل فخد لا إسمنتي جزئي استبدال رأس سيراميكي,Replacement Of Ceramic Head,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2716,نصف مفصل فخد ثنائي القطبين إسمنتي,Hemi Cemented Bipolar Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2717,نصف مفصل فخد ثنائي القطبين غير إسمنتي, Uncemented Bipolar Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0143,مفصل فخد ثنائي القطبين إسمنتي,Cemented Bipolar Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0144,مفصل فخد ثنائي القطبين غير إسمنتي,Uncemented Bipolar Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0165,استئصال جزئي للمفصل في حالات الاورام مع تركيب نصف مفصل .,Hemiarthroplasty In Case Of Tumors ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2718,استعدال لأعلى عظمة الفخذ بدون خلع المفصل,Proximal Femoral Osteotomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2719,استعدال لرأس عظمة الفخذ مع خلع المفصل,Intracapsular Proximal Femoral Osteotomy (Modified Dunn'S Procedure),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2720,استعدال لعظمة الحرقفة وحق مفصل الحوض للبالغين,Pelvic Osteotomy For Adut/Adolescent Hip Dysplasia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2721,إعادة تشكيل مفتوح لا علي عظمة الفخذ واستئصال زوائد غضروفيه بالحوض جراحيا,Open Hip Osteochondroplasty/Chilectomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2722,ترقيع عظمي باستخدام عظمة الشظية مع توصيل الامداد الدموي لتآكل نكروزي باعلي عظمة الفخذ ,Vascularized Fibular Grafting For Femoral Head Avn,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2723,جراحه داخل مفصل الفخذ عن طريق تقنية الخلع جراحي لمفصل الفخذ,Surgical Hip Dislocation For Intraarticular Procedure,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0158,حق لا إسمنتي كبير ,"Hip Joint Replacement, Femoral Component-Non Cemented",صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0149,مفصل فخد إسمنتي كامل,Cemented Total Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0150,مفصل فخد إسمنتي لحالات الخلع الخلقي,Ceramic uncemented hip joint for congenital dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0151,مفصل فخد لا إسمنتي سيراميكي حق عالي ,Ceramic Uncemented Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0145,مفصل فخد غير إسمنتي كامل,Uncemented Total Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0154,مفصل فخد إسمنتي لحالات المراجعة,Replacement Of Cemented Hip Joint- For Revision,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0146,مفصل فخد إسمنتي هجين,Hybrid Total Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2724,مفصل فخد كامل اسمنتي رأس 36,Cemented Total Hip Joint Head 36,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2725,مفصل فخد كامل متنوع التثبيت رأس 36,Hybrid Total Hip Joint Head 36,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2726,مفصل فخد كامل متنوع التثبيت لحالات المراجعة,Hybrid Revision Total Hip Replacement,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0147,مفصل فخد كامل متنوع التثبيت معكوس ,Reverse Hybrid Tha,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0148,مفصل فخد لا إسمنتي رأس 36,Cementless Tha Head 36,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2727,مفصل فخد لا إسمنتي سيراميكي كامل لحالات الخلع الخلقي,Ceramic Uncemented Hip Joint For Congenital Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0153,مفصل فخد لا إسمنتي لحالات المراجعة,Replacement Of Non-Cemented Hip Joint- For Revision,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2728,مفصل فخذ اسمنتي كامل أولي ذو جذع طويل,Primary Tha With Long Stem Cemented,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2729,مفصل فخذ كامل ثلاثي الأقطاب اسمنتي,Dual Mobility (Tripolr) Cemented Tha,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2730,مفصل فخذ كامل ثلاثي الأقطاب لا اسمنتي,Dual Mobility (Tripolr) Cementless Tha,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2731,مفصل فخذ كامل ثلاثي الأقطاب لا اسمنتي للمراجعة,Dual Mobility (Tripolr) Cementless Revision Tha,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2732,مفصل فخذ كامل ثلاثي الأقطاب متنوع التثبيت,Dual Mobility (Tripolr) Hybrid Tha,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2733,مفصل فخذ لا اسمنتي كامل أولي ذو جذع طويل,Primary Tha With Long Stem Cementless,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0162,مفصل مؤقت للفخذ,Temporary Hip Spacer,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0163,مفصل مؤقت للفخذ طويل,Temporary Hip Spacer Long Stem,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2734,منظار جراحي لمفصل الفخذ,Hip Arthroscopy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2735,منظار جراحي لمفصل الفخذ مع إعادة بناء غضروف الحق الدائري,Hip Arthroscopy With Acetabular Labrum Reconstruction,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2736,استئصال الاغشية الملتصقة بالأوتار,Tendolysis ( Excision of Tissues ),صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2737,تسليك الاوتار,Adhesolysis Or Tenolysis In Hand ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0763,تسليك العصب الأوسط باليد.,Carpal Tunnel Release,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0272,تصليح مغلق للكسور البسيطة بالساعد بدون جراحة,Closed Reduction Of Simple Fracture Of Radius Or Ulna,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0273,تصليح مغلق للكسور البسيطة بالرسغ بدون جراحة,Closed Reduction Of Simple Fracture Of Wrist,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0762,نقل العصب الزندي.,Ulnar Nerve Transposition,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0754,استكشاف عصب طرفي .,Exploration Of Peripheral Nerve,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0281,بتر عقلة بأصبع اليد, Amputation Of Hand Phalanx ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0218,تصليح كسور عظام الاطراف العلوية مع تثبيت داخلي بشرائح ومسامير,Open Reduction Of Upper Limb Fracture With Internal Fixation Using Plate And Screw,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0755,فك التصاقات بعصب طرفي.,Peripheral Nerve Neurolysis,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2738,اخذ رقعة شريانية,Arterial Graft Harvest,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2739,اخذ رقعة عصبية,Nerve Graft Harvest ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2740,اخذ رقعة وريدية,Venous Graft Harvest,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2741,ترقيع اوتار,Tendon Graft - Hand,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0205,توصيل الاعصاب ,Repair Of Nerve,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0228,سمكرة مفصل الرسغ (اجراء مفتوح),Arthrodesis Of Wrist Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0194,نقل أو توصيل اكثر من وتر,Repair Or Transfer Multi Tendon,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0725,استكشاف الضفيرة العصبية,Release Of Nerve Plexus,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2742,تثبيت كسر عظمة الزورقية بمسمار عبر الجلد,Percutaneous Fixation Of Scaphoid,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0191,استئصال ضلع رقبى زائد ,Removal Of Cervical Rib,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0168,اعادة بناء الاربطة داخل مفصل الرسغ,Ligaments Repair Of Wrist Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0167,اعادة بناء الاربطة داخل مفصل الكوع,Ligaments Reconstruction Of Elbow Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0169,اعادة بناء الاربطة داخل مفصل اليد أو الأصابع,Ligaments Repair Of Hand Or Fingers Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2743,سمكرة عظام الرسغ باستخدام المنظار الجراحي,Arthroscopic Carpal Or Wist Arthrodesis,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2744,فصل أصابع,Syndactyly Release,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2745,مفصل كوع,Elbow Joint Arthroplasty,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2746,مفصل لرأس عظمة الكعبرة,Radial Head Arthroplasty,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0175,نقل العضلات .,Muscle Transfer,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2747,نقل و توصيل عصب,Nerve Transfer And Suturing,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2748,رفع سلك بدون تخدير,Removal Of Wires Without Ga,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0276,تصليح مغلق للكسور البسيطة بالساق بدون جراحة,Closed Reduction Of Simple Fracture Of Tibia Or Fibula,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0270,تصليح مغلق للكسور البسيطة بالعضد بدون جراحة,Closed Reduction Of Simple Fracture Of Humerus,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0275,تصليح مغلق للكسور البسيطة بالفخذ بدون جراحة,Closed Reduction Of Simple Fracture Of Thigh,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0277,تصليح مغلق للكسور البسيطة بالكاحل بدون جراحة,Closed Reduction Of Simple Fracture Of Ankle,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0278,تصليح مغلق للكسور البسيطة بالكعب بدون جراحة,Closed Reduction Of Simple Fracture Of Heel,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0271,تصليح مغلق للكسور البسيطة بالكوع بدون جراحة,Closed Reduction Of Simple Fracture Of Elbow,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0274,تصليح مغلق للكسور البسيطة باليد بدون جراحة,Closed Reduction Of Simple Fracture Of Hand,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2749,حقن نخاع عظمي,Bmat Injection,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0261,رفع اسلاك معدنية أومسامير,Removal Of Wire Or Screw,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0248,استعدال او رفع جهاز ليزاروف,Ilizarov,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0259,استخراج شرائح صغرى و مسامير من الاطراف ,Removal Of Plate Of Extremities ,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2750,استخراج مسمار نخاعي تشابكي أو مسمار نانسي من الأطراف ,Removal Of Intramedullary Nail Or Nancy Nail,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0224,استكشاف الركبة جراحيا .,Surgical Exploration Of Knee Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0219,تصليح كسور عظام الاطراف السفلية مع تثبيت داخلي بشرائح ومسامير,Open Reduction Of Lower Limb Fracture With Internal Fixation Using Plate And Screw,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2751,تنظيف جرح قريب من العظام,Debridement Of Orthopedic Surgical Wound,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2752,استخراج شريحة و مسامير كبرى,Removal Of Long Plate & Screws,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0210,تصليح كسور داخل المفاصل وتثبيت داخلي,Open Reduction Of Fracture Of Joint With Internal Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0209,استخدام المثبت الخارجي في الكسور المفتتة,Application Of External Fixator Device For Comminuted Fracture,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0186,تركيب مسمار ديناميكي منزلق لكسر الفخذ أو تشوهه,Dynamic Hip Screw (Dhs) For Fracture Or Deformed Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2753,تركيب مسمار نخاعي تشابكي لتثبيت كسر أعلى الفخذ,Intramedullary Nailing For Proximal Femoral Fractures,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2754,تركيب مسمار نخاعي تشابكي لتثبيت كسر بالعضد,Intramedullary Nailing For Humeral Fractures,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2755,تركيب مسمار نخاعي تشابكي لتثبيت كسر بالقصبة,Intramedullary Nailing For Tibial Fractures,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2756,تبديل مسمار نخاعي تشابكي,Exchange Nailing,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2757,تثبيت داخلي لكسر بحلقة الحوض الخلفية بواسطة مسامير و أعمدة (ileoileal fixation),Open Redution & Internal Fixation Of Posterior Pelvic Ring Injury Via Ileoileal Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2758,تثبيت داخلي لكسور حق الحوض بواسطة مسامير للعمود الأمامي أو الخلفي,Internal Fixation Of Anterior Or Posterior Column Acetabular Fractures Via Percutaneous Column Screws,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0174,اصلاح كسور عظام الحق الحرقفي لمفصل الفخذ .,Repair Of Acetabulum Of Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2759,تثبيت داخلي لكسور عظام العانة بواسطة مثبت داخلي ( infix ),Open Redution & Internal Fixation Of Pubic Rami Fracture With Infix,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2760,تثبيت داخلي لكسور مفتتة صعبة,Internal Fixation Of Comminuted Fractures,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2761,تثبيت لخلع بالمفصل الحرقفي العجزي بواسطة مسامير,Closed Redution & Internal Fixation Of Sacroiliac Joint Dislocation With Screw,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2762,تثبيت لخلع عظام العانة أو كسر الكتاب المفتوح بواسطة شريحة أمامية و مسامير,Open Reduction & Internal Fixation Of Pubic Rami Fracture Or Open Book Pelvic Fracture With Plate & Screws,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2763,تصليح كسور باستخدام المنظار الجراحي,Arthroscopic Closed Reduction Of Unspecified Site,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2764,رد مفتوح و تثبيت داخلي لكسر عنق الفخذ,Open Reduction & Internal Fixation Of Neck Femur Fracture,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0229,سمكرة مفصل المرفق,Arthrodesis Of Elbow Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0264,تجبيس الحوض تحت مخدر عام,Application Of Plaster Of Paris For Pelvis Under General Anesthesia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0265,تجبيس الجذع تحت مخدر عام,Application Of Plaster Of Paris For Trunk Under General Anesthesia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0266,تجبيس الطرف العلوي تحت مخدر عام,Application Of Plaster Of Paris For Upper Limbs Under General Anesthesia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0267,تجبيس الطرف السفلي تحت مخدر عام,Application Of Plaster Of Paris For Lower Limbs Under General Anesthesia,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2765,استئصال حاجز بالرحم عن طريق منظار رحمي,Hysteroscopic Removal Of Intrauterine Septum ,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0319,استئصال كيس بغدة بارثولين,Excision Of Bartholin Cyst,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0323,الولادة الطبيعية ( بشق العجان أو بدون ),Vaginal Delivery,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0317,تصليح العجان ( عملية منفصلة ),Vulvar Reconstruction,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0320,تصليح عنق الرحم مهبليا,Vaginal Repair Of Cervix,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0321,تفريغ خراج بقاع دوجلاس,Drainage Of Douglas Pouch Abscess,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2767,عملية تفريغ الحمل,Evacuation And Currettage ,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0322,عملية ربط عنق الرحم من المهبل للإجهاض المتكرر,Cervical Cerclage,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2768,عينة من الرحم تحت مخدر عام,Endometrial Biopsy,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2769,فتح خراج غدة بارثولين,Excision Of Bartholin Absses ,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2770,فحص تحت مخدر عام,Examination Under Anathesia,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2771,فك التصاقات بالمنظار الرحمي,Hysteroscopic Adhesolysis,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0318,كحت وتنظيف للرحم,Dilation And Curettage,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2772,كي عنق الرحم تحت مخدر عام,Cervical Cauterization Under General Anathesia,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2773,استئصال البوق لإزالة ورم حميد,Excision Of Begnin Tumor Of Fallopian Tube,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-2774,استئصال المبيض لإزالة ورم حميد,Oophorectomy For Begnin Tumor Excision,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0314,استئصال أورام ليفية عن طريق المهبل,Vaginal Myomectomy,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
UHIA-0306,استئصال حمل خارج الرحم,Removal Of Ectopic Pregnancy,صفقات جراحة النساء والتوليد,,,,,,,,,,,,,,,,,,
